fixture_id,match_date,match_time,home_team,away_team,league,source_name,source_type,market_home_odds,market_draw_odds,market_away_odds,price_captured_at_utc,source_quality
fd_SC0_2026-05-13_Hearts_Falkirk,2026-05-13,20:00,Hearts,Falkirk,SC0,football_data_bet365_proxy,delayed_market_proxy,1.41,4.75,6.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Hearts_Falkirk,2026-05-13,20:00,Hearts,Falkirk,SC0,football_data_max_market_proxy,delayed_market_proxy,1.44,4.9,7.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Hearts_Falkirk,2026-05-13,20:00,Hearts,Falkirk,SC0,football_data_average_market_proxy,delayed_market_proxy,1.4,4.6,6.82,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Motherwell_Celtic,2026-05-13,20:00,Motherwell,Celtic,SC0,football_data_bet365_proxy,delayed_market_proxy,4.33,4.1,1.66,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Motherwell_Celtic,2026-05-13,20:00,Motherwell,Celtic,SC0,football_data_max_market_proxy,delayed_market_proxy,4.4,4.2,1.73,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Motherwell_Celtic,2026-05-13,20:00,Motherwell,Celtic,SC0,football_data_average_market_proxy,delayed_market_proxy,4.25,4.03,1.68,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Rangers_Hibernian,2026-05-13,20:00,Rangers,Hibernian,SC0,football_data_bet365_proxy,delayed_market_proxy,1.45,4.75,5.75,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Rangers_Hibernian,2026-05-13,20:00,Rangers,Hibernian,SC0,football_data_max_market_proxy,delayed_market_proxy,1.51,4.75,6.0,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Rangers_Hibernian,2026-05-13,20:00,Rangers,Hibernian,SC0,football_data_average_market_proxy,delayed_market_proxy,1.48,4.52,5.62,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Espanol_Ath_Bilbao,2026-05-13,18:00,Espanol,Ath Bilbao,la_liga,football_data_bet365_proxy,delayed_market_proxy,2.63,3.3,2.7,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Espanol_Ath_Bilbao,2026-05-13,18:00,Espanol,Ath Bilbao,la_liga,football_data_max_market_proxy,delayed_market_proxy,2.7,3.3,2.75,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Espanol_Ath_Bilbao,2026-05-13,18:00,Espanol,Ath Bilbao,la_liga,football_data_average_market_proxy,delayed_market_proxy,2.61,3.21,2.69,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Villarreal_Sevilla,2026-05-13,18:00,Villarreal,Sevilla,la_liga,football_data_bet365_proxy,delayed_market_proxy,2.1,3.3,3.6,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Villarreal_Sevilla,2026-05-13,18:00,Villarreal,Sevilla,la_liga,football_data_max_market_proxy,delayed_market_proxy,2.12,3.5,3.7,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Villarreal_Sevilla,2026-05-13,18:00,Villarreal,Sevilla,la_liga,football_data_average_market_proxy,delayed_market_proxy,2.09,3.29,3.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Alaves_Barcelona,2026-05-13,20:30,Alaves,Barcelona,la_liga,football_data_bet365_proxy,delayed_market_proxy,3.1,3.75,2.15,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Alaves_Barcelona,2026-05-13,20:30,Alaves,Barcelona,la_liga,football_data_max_market_proxy,delayed_market_proxy,3.2,3.9,2.15,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Alaves_Barcelona,2026-05-13,20:30,Alaves,Barcelona,la_liga,football_data_average_market_proxy,delayed_market_proxy,3.09,3.75,2.1,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SP1_2026-05-13_Getafe_Mallorca,2026-05-13,20:30,Getafe,Mallorca,la_liga,football_data_bet365_proxy,delayed_market_proxy,2.2,3.2,3.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
